Año;Mes;Lote;Residuo;Distrito;Nombre distrito;Total
2024;ENERO;1;CAMA DE CABALLO;9;MONCLOA - ARAVACA;162,485
2024;ENERO;1;CARTON COMERCIAL;1;CENTRO;265,06
2024;ENERO;1;CARTON COMERCIAL;6;TETUAN;70,82
2024;ENERO;1;CARTON COMERCIAL;7;CHAMBERI;110,28
2024;ENERO;1;CARTON COMERCIAL;8;FUENCARRAL - EL PARDO;30,72
2024;ENERO;1;CARTON COMERCIAL;10;LATINA;34,93
2024;ENERO;1;CLINICOS;1;CENTRO;184,54
2024;ENERO;1;CLINICOS;6;TETUAN;14,46
2024;ENERO;1;CLINICOS;8;FUENCARRAL - EL PARDO;331,92
2024;ENERO;1;CLINICOS;9;MONCLOA - ARAVACA;251,62
2024;ENERO;1;CLINICOS;10;LATINA;37,98
2024;ENERO;1;ENVASES;1;CENTRO;311,48
2024;ENERO;1;ENVASES;6;TETUAN;496,54
2024;ENERO;1;ENVASES;7;CHAMBERI;512,06
2024;ENERO;1;ENVASES;8;FUENCARRAL - EL PARDO;778
2024;ENERO;1;ENVASES;9;MONCLOA - ARAVACA;473,4
2024;ENERO;1;ENVASES;10;LATINA;767,2
2024;ENERO;1;ORGANICA;1;CENTRO;2048,62
2024;ENERO;1;ORGANICA;6;TETUAN;1078,58
2024;ENERO;1;ORGANICA;7;CHAMBERI;1164,26
2024;ENERO;1;ORGANICA;8;FUENCARRAL - EL PARDO;1721,68
2024;ENERO;1;ORGANICA;9;MONCLOA - ARAVACA;1169,16
2024;ENERO;1;ORGANICA;10;LATINA;1480,38
2024;ENERO;1;PAPEL-CARTON;1;CENTRO;502,54
2024;ENERO;1;PAPEL-CARTON;6;TETUAN;422,58
2024;ENERO;1;PAPEL-CARTON;7;CHAMBERI;305,26
2024;ENERO;1;PAPEL-CARTON;8;FUENCARRAL - EL PARDO;740,12
2024;ENERO;1;PAPEL-CARTON;9;MONCLOA - ARAVACA;323,2
2024;ENERO;1;PAPEL-CARTON;10;LATINA;387,08
2024;ENERO;1;PILAS;1;CENTRO;0,114028502
2024;ENERO;1;PILAS;6;TETUAN;0,132731692
2024;ENERO;1;PILAS;7;CHAMBERI;0,088809695
2024;ENERO;1;PILAS;8;FUENCARRAL - EL PARDO;0,137083935
2024;ENERO;1;PILAS;9;MONCLOA - ARAVACA;0,087970649
2024;ENERO;1;PILAS;10;LATINA;0,159938038
2024;ENERO;1;PUNTOS LIMPIOS;8;FUENCARRAL - EL PARDO;148,1
2024;ENERO;1;PUNTOS LIMPIOS;9;MONCLOA - ARAVACA;52,8
2024;ENERO;1;PUNTOS LIMPIOS;10;LATINA;127,98
2024;ENERO;1;RCD;1;CENTRO;132,47
2024;ENERO;1;RCD;6;TETUAN;37,89
2024;ENERO;1;RCD;7;CHAMBERI;50,76
2024;ENERO;1;RCD;8;FUENCARRAL - EL PARDO;114,235
2024;ENERO;1;RCD;9;MONCLOA - ARAVACA;63,11
2024;ENERO;1;RCD;10;LATINA;45,02
2024;ENERO;1;RESTO;1;CENTRO;3269,58
2024;ENERO;1;RESTO;6;TETUAN;2254,18
2024;ENERO;1;RESTO;7;CHAMBERI;1718,48
2024;ENERO;1;RESTO;8;FUENCARRAL - EL PARDO;3206,3
2024;ENERO;1;RESTO;9;MONCLOA - ARAVACA;2087,24
2024;ENERO;1;RESTO;10;LATINA;3101,58
