NOMBRE PARQUE;Recién plantado y no consolidado;Joven;Maduro;Viejo;Otros;Total Árboles;Total Árboles (con tocones);;
JARDINES DEL BUEN RETIRO;352;5.498;10.064;934;9;16.857;16.857;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;105;1.282;5.540;144;7;7.078;7.088;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;44;217;6.060;35;0;6.356;6.356;;
JARDÍN DE LA QUINTA FUENTE DEL BERRO;27;208;859;13;5;1.112;1.112;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;82;552;2.455;373;8;3.470;3.470;;
JARDINES DE SABATINI;0;9;207;1;0;217;217;;
JARDINES PLAZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;3;20;222;2;0;247;247;;
PARQUE DE LA DEHESA DE LA VILLA;162;1.146;6.973;181;13;8.475;8.475;;
PARQUE MADRID RÍO;45;7.598;6.295;179;0;14.117;14.117;;
PARQUE LINEAL DEL MANZANARES;0;8.968;4.423;82;0;13.473;13.473;;
PARQUE JUAN PABLO II;221;745;635;0;0;1.601;1.601;;
PARQUE JUAN CARLOS I;1.068;367;12.034;464;0;13.933;13.933;;
ZONAS VERDES DISTRITO C - LAS TABLAS;1;1.656;43;0;0;1.700;1.700;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;2.280;3.297;247;102;0;5.926;5.926;;
CUÑA VERDE DE O´DONNELL Y FUENTE CARRANTONA;1.523;5.302;6.724;130;0;13.679;13.679;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);7;12;62;35;0;116;116;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
NOTA: ;;;;;;;;;
En este fichero unicamente figuran los datos del arbolado que está individualizado, pie a pie, en cada uno de los parques. ;;;;;;;;;
Los árboles situados en masas arbóresas o forestales no se incluyen aquí. Sus datos se recogen en el fichero de Masas arbóreas parques históricos, singulares y forestales;;;;;;;;;
