FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d06,65998,APARCABICIS_217,Frente a Carril de los Niños.,"CARRIL DE CASTELL, 23 ",POINT (374793.57398567 4065356.27104485),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d07,65996,APARCABICIS_186,Esquina c/ Mar.,"PLAZA NIÑO DE LAS MORAS, 4 ",POINT (378607.9429513 4064618.04854184),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d08,65999,APARCABICIS_229,Frente a Colegio San Estanislao de Kostka.,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 170 ",POINT (378354.123919688 4064809.95156696),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d09,66061,APARCABICIS_268,A la altura del número 18,"CALLE REAL, 18 ",POINT (378646.371738611 4064839.75493038),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0a,65910,APARCABICIS_242,Junto a entrada de Parking Alcazaba.,"PLAZA DE JESÚS ""EL RICO"", 3 ",POINT (373487.830653682 4065030.10185677),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0b,65975,APARCABICIS_163,Esquina con Cl. Antonio Baena Gómez.,"CALLE ANTONIO BAENA GÓMEZ, 1 ",POINT (372997.758621848 4064588.74237426),,,,,,MUNICIPAL,No,No,20,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0c,65916,APARCABICIS_024,Esq. con Molina Larios,"PLAZA DE LA MARINA, 4 ",POINT (373175.60342804 4064581.88793964),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0d,66049,APARCABICIS_257,A la altura del Paseo de Levante,"PASEO DE LA FAROLA, 21 ",POINT (373683.242554624 4064029.44516644),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0e,65885,APARCABICIS_338,,"CALLE BARROSO, 7 ",POINT (372934.000185537 4064289.00009046),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d0f,66105,APARCABICIS_312,Esq. con Cl. Jerez Perchet,"CALLE ALCALDE NICOLÁS MAROTO, 18 ",POINT (373515.036421856 4068009.97112053),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d10,65988,APARCABICIS_206,Junto a Oficina de Turismo.,"PLAZA DE LA MARINA, 11 ",POINT (373151.817951465 4064471.83316786),,,,,,MUNICIPAL,No,No,16,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d11,66005,APARCABICIS_233,Puerta del Conservatorio de Música Manuel Carra.,"AVENIDA DE JACINTO BENAVENTE, 13 ",POINT (372830.699844618 4068077.44835446),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d12,65974,APARCABICIS_051,A la altura del Polideportivo la Mosca,"CALLE EUCALIPTUS, 18 ",POINT (377574.72770875 4065644.0585491),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d13,66000,APARCABICIS_072,Esquina c/ Quiteria.,"CALLE LÁGRIMA, 8 ",POINT (373578.795159725 4067666.21906543),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d14,66085,APARCABICIS_295,Esq. con Cl. Antonio Jiménez Ruiz,"CALLE DIEGO DE VERGARA, 6 ",POINT (371909.095363498 4064989.34593081),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d15,66088,APARCABICIS_298,Esq. Cl. Peinado,"CALLE EDUARDO DOMÍNGUEZ ÁVILA, 19 ",POINT (373063.643026174 4065994.5453474),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d16,66123,APARCABICIS_325,Esq. Plaza Cristo del Amor,"CALLE FERNANDO EL CATÓLICO, 2 ",POINT (373759.647658538 4065765.90348837),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d17,65939,APARCABICIS_034,Esquina con Walt Whitman junto Edificio negro.,"CALLE DEL VOLUNTARIADO MALAGUEÑO, 3 ",POINT (371895.680008419 4064253.62242316),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d18,65976,APARCABICIS_174,Esquina con c/ San Jorge.,"CALLE DUQUE DE RIVAS, 28 ",POINT (372815.449219483 4065719.27270971),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d19,65876,APARCABICIS_328,Esq. C/ Natalia,"CALLE CATALUÑA, 9 ",POINT (372030.999829348 4065111.99978313),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1a,66008,APARCABICIS_185,Esquina Avenida Barcelona.,"CALLE CALZADA DE LA TRINIDAD, 1 ",POINT (372162.228855539 4065292.92673368),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1b,66023,APARCABICIS_220,Junto al Campo de Fútbol,"CALLE LA ARGENTINITA, 6 ",POINT (370903.745543407 4065185.75702395),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1c,66041,APARCABICIS_221,Frente a la Ciudad de la Justicia,"CALLE FISCAL LUIS PORTERO GARCÍA, 11 ",POINT (369549.603975397 4064322.15079086),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d1d,66019,APARCABICIS_203,Puerta del Colegio Manolo Garvayo,"CALLE ENCARNACIÓN FONTIVEROS, 4 ",POINT (370702.135740221 4065499.73631764),,,,,,MUNICIPAL,No,No,8,1987
